"('0xboku.', '', '')"
"('Ae.', '', '')"
"('Array.', '', '')"
"('ArtOfDeviceCodePhish.', '', '')"
"('Be.', '', '')"
"('DOMPurify.', '', '')"
"('Data.', '', '')"
"('G.', '', '')"
"('GraphSpy.', '', '')"
"('JSON.', '', '')"
"('Ne.', '', '')"
"('Object.', '', '')"
"('OneDrive.', '', '')"
"('Prism.', '', '')"
"('R.', '', '')"
"('README.', '', '')"
"('ScrollSpy.', '', '')"
"('SharePoint.', '', '')"
"('SharePointDrives.', '', '')"
"('SharePointSites.', '', '')"
"('Te.', '', '')"
"('a.', '', '')"
"('aadinternals.', '', '')"
"('accessTokenModalTable.', '', '')"
"('ae.', '', '')"
"('ajax.', '', '')"
"('app.', '', '')"
"('argparse.', '', '')"
"('args.', '', '')"
"('arguments.', '', '')"
"('authMethodsTable.', '', '')"
"('availableAuthenticationInfo.', '', '')"
"('azure.', '', '')"
"('b.', '', '')"
"('blue.', '', '')"
"('body.', '', '')"
"('bootstrap.', '', '')"
"('bootstrap5.', '', '')"
"('bs.', '', '')"
"('btnToActive.', '', '')"
"('businessPhones.', '', '')"
"('button.', '', '')"
"('c.', '', '')"
"('captcha.', '', '')"
"('child.', '', '')"
"('classList.', '', '')"
"('className.', '', '')"
"('clipboard.', '', '')"
"('cloudflare.', '', '')"
"('column.', '', '')"
"('columns.', '', '')"
"('con.', '', '')"
"('console.', '', '')"
"('content.', '', '')"
"('context.', '', '')"
"('conversation.', '', '')"
"('conversationIds.', '', '')"
"('conversationItemHeader.', '', '')"
"('conversationItemPreview.', '', '')"
"('conversationItemWrapper.', '', '')"
"('conversationMembers.', '', '')"
"('conversationName.', '', '')"
"('conversations.', '', '')"
"('conversationsNonEmpty.', '', '')"
"('copyIcon.', '', '')"
"('cur.', '', '')"
"('currentConversation.', '', '')"
"('currentConversationMembers.', '', '')"
"('cursor.', '', '')"
"('d.', '', '')"
"('data.', '', '')"
"('dataTable.', '', '')"
"('database.', '', '')"
"('datatables.', '', '')"
"('datetime.', '', '')"
"('db.', '', '')"
"('define.', '', '')"
"('descDetails.', '', '')"
"('descList.', '', '')"
"('deselect.', '', '')"
"('directoryRoles.', '', '')"
"('div.', '', '')"
"('doctype.', '', '')"
"('document.', '', '')"
"('documentElement.', '', '')"
"('dom.', '', '')"
"('dropdown-toggle.', '', '-toggle')"
"('e.', '', '')"
"('editor.', '', '')"
"('ee.', '', '')"
"('element.', '', '')"
"('entraUserDetails.', '', '')"
"('entraUsersColumns.', '', '')"
"('entraUsersTable.', '', '')"
"('error.', '', '')"
"('example.', '', '')"
"('expiry.', '', '')"
"('ext.', '', '')"
"('external.', '', '')"
"('f.', '', '')"
"('fido2.', '', '')"
"('file.', '', '')"
"('fileBody.', '', '')"
"('fileContainer.', '', '')"
"('fileInfo.', '', '')"
"('filename.', '', '')"
"('flask.', '', '')"
"('flaticon.', '', '')"
"('flaticon.', '', '-uicons')"
"('focus.', '', '')"
"('formData.', '', '')"
"('formatWrapper.', '', '')"
"('from.', '', '')"
"('functions.', '', '')"
"('getbootstrap.', '', '')"
"('github.', '', '')"
"('graph.', '', '')"
"('groups.', '', '')"
"('h1.', '', '')"
"('header.', '', '')"
"('headerNameInput.', '', '')"
"('headerValueInput.', '', '')"
"('headerWrapper.', '', '')"
"('headers.', '', '')"
"('i.', '', '')"
"('ie.', '', '')"
"('imdisplayname.', '', '')"
"('item.', '', '')"
"('john.', '', '')"
"('jqXHR.', '', '')"
"('jquery.', '', '')"
"('js.', '', '')"
"('jsdelivr.', '', '')"
"('json.', '', '')"
"('jwt.', '', '')"
"('l.', '', '')"
"('lastConversation.', '', '')"
"('lastMessage.', '', '')"
"('lastMessageDate.', '', '')"
"('layout.', '', '')"
"('list-group-item.', '', '-item')"
"('localStorage.', '', '')"
"('location.', '', '')"
"('logging.', '', '')"
"('member.', '', '')"
"('message.', '', '')"
"('messageJson.', '', '')"
"('messageSender.', '', '')"
"('messages.', '', '')"
"('method.', '', '')"
"('methodRadio.', '', '')"
"('mfa.', '', '')"
"('microsoft.', '', '')"
"('microsoftonline.', '', '')"
"('min.', '', '')"
"('min.', '', '-3')"
"('min.', '', '-bs5')"
"('min.', '', '-core')"
"('min.', '', '-json')"
"('min.', '', '-okaidia')"
"('modalWrapper.', '', '')"
"('module.', '', '')"
"('myTable.', '', '')"
"('n.', '', '')"
"('name.', '', '')"
"('navigator.', '', '')"
"('ne.', '', '')"
"('noteDropdownJquery.', '', '')"
"('nt.', '', '')"
"('o.', '', '')"
"('odata.', '', '')"
"('oe.', '', '')"
"('office365.', '', '')"
"('os.', '', '')"
"('otherMember.', '', '')"
"('outlook.', '', '')"
"('ownerDocument.', '', '')"
"('params.', '', '')"
"('parentNode.', '', '')"
"('parentReference.', '', '')"
"('parts.', '', '')"
"('path.', '', '')"
"('preText.', '', '')"
"('properties.', '', '')"
"('prototype.', '', '')"
"('pyotp.', '', '')"
"('pypi.', '', '')"
"('r.', '', '')"
"('re.', '', '')"
"('refreshTokenModalTable.', '', '')"
"('registeredMethods.', '', '')"
"('render.', '', '')"
"('request.', '', '')"
"('requests.', '', '')"
"('requirements.', '', '')"
"('resource.', '', '')"
"('response.', '', '')"
"('responseJSON.', '', '')"
"('responseText.', '', '')"
"('resultXml.', '', '')"
"('row.', '', '')"
"('select.', '', '')"
"('selectedUserInputGroup.', '', '')"
"('settings.', '', '')"
"('shields.', '', '')"
"('skype.', '', '')"
"('span.', '', '')"
"('spotit.', '', '')"
"('sqlite3.', '', '')"
"('state.', '', '')"
"('statusResponse.', '', '')"
"('style.', '', '')"
"('summernote.', '', '')"
"('sys.', '', '')"
"('t.', '', '')"
"('table.', '', '')"
"('tableData.', '', '')"
"('target.', '', '')"
"('td.', '', '')"
"('teams.', '', '')"
"('teamsMessageCard.', '', '')"
"('teamsMessageCardBody.', '', '')"
"('teamsMessageCardHeader.', '', '')"
"('teamsMessageWrapper.', '', '')"
"('teamsUsersTable.', '', '')"
"('tenant.', '', '')"
"('text.', '', '')"
"('textContent.', '', '')"
"('theme.', '', '')"
"('themeSwitcher.', '', '')"
"('this.', '', '')"
"('threadProperties.', '', '')"
"('time.', '', '')"
"('tmp.', '', '')"
"('toastList.', '', '')"
"('today.', '', '')"
"('toggle.', '', '')"
"('token.', '', '')"
"('transitiveMemberOf.', '', '')"
"('twitter.', '', '')"
"('type.', '', '')"
"('ui.', '', '')"
"('uicons-bold-rounded.', '', '-rounded')"
"('uicons-regular-rounded.', '', '-rounded')"
"('uicons-solid-rounded.', '', '-rounded')"
"('uri.', '', '')"
"('urllib.', '', '')"
"('user.', '', '')"
"('userDetailsApiPermissionsTable.', '', '')"
"('userDetailsAppRoleAssignmentTable.', '', '')"
"('userDetailsGroupMembershipTable.', '', '')"
"('userDetailsOverview.', '', '')"
"('userDetailsOwnedDeviceTable.', '', '')"
"('userDetailsPre.', '', '')"
"('userDetailsRoleMembershipTable.', '', '')"
"('userGroupsModal.', '', '')"
"('uuid.', '', '')"
"('validTypes.', '', '')"
"('value.', '', '')"
"('variable.', '', '')"
"('variableNameInput.', '', '')"
"('variableNameValue.', '', '')"
"('variableWrapper.', '', '')"
"('variables.', '', '')"
"('version.', '', '')"
"('w3.', '', '')"
"('window.', '', '')"
"('windows.', '', '')"
"('windowsazure.', '', '')"
"('x.', '', '')"
"('xhr.', '', '')"
"('xsltProcessor.', '', '')"
"('ye.', '', '')"
