				Object.keys(doc).forEach(function(e){
				event.which = original.charCode != null ? original.charCode : original.keyCode;
				rkeyEvent.test( type ) ? this.keyHooks :
				styleRule.keyText = buffer.trim();
				throw (new errors.KeyEncryptedError(
			Object.keys = function keys(object) {
			return (Object.keys(arguments) || '').length === 2;
			ruleClone.keyText = rule.keyText;
			throw (new errors.KeyEncryptedError(
			var originalKeys = Object.keys;
			} else if (exts[i].oid === EXTS.keyUsage) {
		Object.keys = keysShim;
		Object.keys(legacy).forEach(function(e){
		curveNames = Object.keys(algs.curves);
		if (curr.key === key) {
		inf.keySize = 16;
		inf.keySize = 24;
		inf.keySize = 32;
		pair = nacl.box.keyPair.fromSecretKey(new Uint8Array(priv));
		pair = nacl.sign.keyPair.fromSeed(new Uint8Array(priv));
		sig.keyId = cert.subjects[0].type + '_' +
		throw new TypeError('Object.keys called on a non-object');
		var ks = Object.keys(curve);
		var out = new Uint8Array(cinf.keySize + cinf.blockSize);
		var pair = nacl.box.keyPair();
	                            keys.push(results.rows.item(i).key);
	                            resolve(cursor.key);
	                        resolve(cursor.key);
	                        var result = results.rows.length ? results.rows.item(0).key : null;
	                    keys.push(cursor.key);
	                    keys.push(localStorage.key(i).substring(dbInfo.keyPrefix.length));
	                if (localStorage.key(i).indexOf(dbInfo.keyPrefix) === 0) {
	                if (token.type === token_1.Token.Keyword) {
	                next.type = token_1.Token.Keyword;
	                result = localStorage.key(n);
	                result = result.substring(dbInfo.keyPrefix.length);
	                var key = localStorage.key(i);
	            (next.type === token_1.Token.Keyword && next.value === 'let') ||
	            (next.type === token_1.Token.Keyword && next.value === 'yield');
	            case token_1.Token.Keyword:
	            dbInfo.keyPrefix += dbInfo.storeName + '/';
	            if (this.context.strict && token.type === token_1.Token.Keyword && this.scanner.isStrictModeReservedWord(token.value)) {
	            localStorage.removeItem(dbInfo.keyPrefix + key);
	            token.type === token_1.Token.Keyword ||
	            type = token_1.Token.Keyword;
	            var keyPrefix = dbInfo.keyPrefix;
	            var keyPrefix = self._dbInfo.keyPrefix;
	            var keySize = cfg.keySize;
	            var result = localStorage.getItem(dbInfo.keyPrefix + key);
	        dbInfo.keyPrefix = dbInfo.name + '/';
	        else if (this.lookahead.type === token_1.Token.Keyword) {
	        else if (token.type === token_1.Token.Keyword) {
	        if (this.lookahead.type === token_1.Token.Keyword) {
	        if (token.type !== token_1.Token.Keyword || token.value !== keyword) {
	        if (token.type === token_1.Token.Keyword && token.value === 'yield') {
