"('', '', '', 'from colorama import (  # type: ignore')"
"('', '', '', 'from datetime import (')"
"('', '', '', 'from o365spray.core.utils import (')"
"('', '', '', 'from o365spray.core.utils.defaults import (')"
"('', '', '', 'from random import (')"
"('', '', '', 'from typing import (')"
"('', 'bs4', 'BeautifulSoup', '')"
"('', 'datetime', 'datetime', '')"
"('', 'functools', 'partial', '')"
"('', 'itertools', 'cycle', '')"
"('', 'o365spray', '__version__', '')"
"('', 'o365spray.__main__', 'main', '')"
"('', 'o365spray.core.handlers.base', 'BaseHandler', '')"
"('', 'o365spray.core.handlers.enumerator', 'enumerate', '')"
"('', 'o365spray.core.handlers.enumerator.enumerate', 'enumerate', '')"
"('', 'o365spray.core.handlers.enumerator.modules.base', 'EnumeratorBase', '')"
"('', 'o365spray.core.handlers.sprayer', 'spray', '')"
"('', 'o365spray.core.handlers.sprayer.modules.base', 'SprayerBase', '')"
"('', 'o365spray.core.handlers.sprayer.spray', 'spray', '')"
"('', 'o365spray.core.handlers.validator', 'validate', '')"
"('', 'o365spray.core.handlers.validator.modules.base', 'ValidatorBase', '')"
"('', 'o365spray.core.handlers.validator.validate', 'validate', '')"
"('', 'o365spray.core.utils', 'Defaults', '')"
"('', 'o365spray.core.utils.colors', 'text_colors', '')"
"('', 'o365spray.core.utils.helper', 'Helper', '')"
"('', 'o365spray.core.utils.logger', 'init_logger', '')"
"('', 'o365spray.core.utils.writer', 'ThreadWriter', '')"
"('', 'pathlib', 'Path', '')"
"('', 'random', 'randint', '')"
"('', 'requests.auth', 'HTTPBasicAuth', '')"
"('', 'setuptools', 'setup', '')"
"('', 'typing', 'Tuple', '')"
"('', 'urllib.parse', 'quote', '')"
"('', 'uuid', 'uuid4', '')"
"('argparse', '', '', '')"
"('asyncio', '', '', '')"
"('atexit', '', '', '')"
"('concurrent.futures', '', '', '')"
"('concurrent.futures.thread', '', '', '')"
"('html', '', '', '')"
"('importlib', '', '', '')"
"('json', '', '', '')"
"('logging', '', '', '')"
"('os', '', '', '')"
"('random', '', '', '')"
"('re', '', '', '')"
"('requests', '', '', '')"
"('signal', '', '', '')"
"('socket', '', '', '')"
"('string', '', '', '')"
"('struct', '', '', '')"
"('sys', '', '', '')"
"('the', '', '', '')"
"('time', '', '', '')"
"('urllib3', '', '', '')"
"('xml.etree.ElementTree', '', '', '')"
