"('A', 'b', '')"
"('B', '5', '')"
"('B', 'A', '')"
"('B', 'BPZ', '')"
"('C', 'ProgramData\\Cisco\\Cisco AnyConnect Secure Mobility Client\\Profile', '')"
"('C', 'Tools\\CiscoAnyConnect', '.exe')"
"('C', 'Tools\\KeePass', '.exe')"
"('C', 'Tools\\LastPass', '.exe')"
"('C', 'Tools\\OpenVPN', '.exe')"
"('C', 'Tools\\wpfRunner', '.exe')"
"('C', 'path\\to\\target\\passwords', '.kdbx')"
"('D', 'U~\\iiq)', '')"
"('E', 'D', '')"
"('E', 'I ', '')"
"('E', 'g', '')"
"('E', 's', '')"
"('F', '8', '')"
"('F', 'U', '')"
"('G', 'K', '')"
"('H', 'B', '')"
"('H', 'Hg', '')"
"('H', 'W4VsA', '')"
"('H', 'h', '')"
"('I', 'GW', '')"
"('I', 'z', '')"
"('J', 'ub', '')"
"('K', 'B', '')"
"('L', 'L', '')"
"('L', 'S', '')"
"('M', '0', '')"
"('M', '1', '')"
"('M', 'B', '')"
"('M', 'N3p', '')"
"('M', 'V', '')"
"('M', 'kU', '')"
"('N', '0I)w', '')"
"('N', 'XKAqH', '')"
"('N', 'qf', '')"
"('N', 'su', '')"
"('N', 'zU', '')"
"('O', 'BE', '')"
"('O', 'q', '')"
"('P', 'KlO', '')"
"('P', 'q5jI', '')"
"('Q', 'Bjqx', '')"
"('Q', 'M)', '')"
"('S', '0', '')"
"('S', 'C', '')"
"('S', 'F', '')"
"('S', 'aq', '')"
"('S', 'c', '')"
"('S', 'hIL', '')"
"('S', 'rs', '')"
"('S', 's', '')"
"('S', 'zo', '')"
"('T', 'r', '')"
"('U', ""s'M8Oj"", '')"
"('U', 'cOiy(0-q', '')"
"('V', '75', '')"
"('V', 'zedcV', '')"
"('W', 'C', '')"
"('W', 'V', '')"
"('X', '90', '')"
"('X', 'B', '')"
"('X', 'IJ7', '')"
"('X', 'Wo', '')"
"('X', 'j', '')"
"('X', 'pGET', '')"
"('X', 'su', '')"
"('X', 'y_B', '')"
"('Y', 'sZ', '')"
"('Y', 'ssbD~n', '')"
"('Z', 'G', '')"
"('Z', 'su', '')"
"('a', 'HKlzL', '')"
"('b', 'F', '')"
"('b', 'G', '')"
"('c', '8', '')"
"('c', 'BlNN1C', '')"
"('c', 'T1~6H', '')"
"('c', 'j\\y87)T', '')"
"('c', 's', '')"
"('c', 'y', '')"
"('d', 'Bzp', '')"
"('d', 'V', '')"
"('d', 'W)', '')"
"('e', 'A', '')"
"('e', 'S', '')"
"('e', 'p', '')"
"('e', 'su', '')"
"('e', 't', '')"
"('f', '9', '')"
"('f', 'R', '')"
"('f', 'hQ', '')"
"('g', 'N', '')"
"('g', 'RtW', '')"
"('g', 'Z', '')"
"('g', 's', '')"
"('h', '382', '')"
"('h', 'Z', '')"
"('h', 'qq8', '')"
"('h', 'z', '')"
"('i', '0Y4L4', '')"
"('i', 'B2', '')"
"('i', 'qqKt', '')"
"('i', 's', '')"
"('i', 's2', '')"
"('j', 'mJ3s6U', '')"
"('j', 'v-3', '')"
"('k', 'YbV', '')"
"('k', 'u', '')"
"('l', 'bZf', '')"
"('l', 'm', '')"
"('l', 'pn', '')"
"('l', 'z Oo', '')"
"('m', 'Zu', '')"
"('m', 'b', '')"
"('m', 'qk', '')"
"('m', 'r4', '')"
"('m', 's', '')"
"('m', 'su', '')"
"('m', 'z4_v', '')"
"('n', '2', '')"
"('o', '8', '')"
"('o', 'su', '')"
"('p', 'g', '')"
"('q', '0', '')"
"('q', 'q', '')"
"('r', 'bR', '')"
"('r', 'su', '')"
"('s', 'B', '')"
"('s', 'BG', '')"
"('t', '8', '')"
"('t', 'J1', '')"
"('t', 'J1A2', '')"
"('t', 'J1Bod', '')"
"('t', 'z', '')"
"('u', 'P', '')"
"('u', 's', '')"
"('v', 'JL', '')"
"('v', 'f', '')"
"('v', 'q', '')"
"('w', 'UP', '')"
"('w', 'Z8k', '')"
"('w', 's', '')"
"('w', 'su', '')"
"('w', 'v', '')"
"('x', '1', '')"
"('x', 'B', '')"
"('x', 'G', '')"
"('x', 'Jo', '')"
"('x', 'N', '')"
"('x', 'c', '')"
"('x', 'j', '')"
"('y', '0U7xRap', '')"
"('y', 'B', '')"
"('y', 'q', '')"
"('y', 'sa', '')"
"('y', 'vt)\\RIu', '')"
"('y', 'x', '')"
"('z', '4p34h', '')"
"('z', 'F', '')"
"('z', 'M', '')"
